track_id,track_name,artist_name,album_name,release_date,popularity,cover_url,spotify_url,artist_image_url,data_refresh_timestamp
5ylJtmaWPJ33cW3En7WOu0,Wood,Taylor Swift,The Life of a Showgirl,2025-10-03,92,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902,https://open.spotify.com/track/5ylJtmaWPJ33cW3En7WOu0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,2025-11-13 07:12:33
5pobX21I8uZdHM8YOWItU7,The Dead Dance,Lady Gaga,MAYHEM,2025-09-01,80,https://i.scdn.co/image/ab67616d0000b2738d1cf82837651f08ac1ca1ca,https://open.spotify.com/track/5pobX21I8uZdHM8YOWItU7,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6,2025-11-13 07:12:33
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,greedy,2023-09-15,87,https://i.scdn.co/image/ab67616d0000b2735f677b5d3b81f08badd0775b,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,https://i.scdn.co/image/ab6761610000e5eb5f2d104955a32b1334951632,2025-11-13 07:12:33
43iIQbw5hx986dUEZbr3eN,From The Start,Laufey,Bewitched,2023-09-08,86,https://i.scdn.co/image/ab67616d0000b27374c732f8aa0e0ccbb3d17d96,https://open.spotify.com/track/43iIQbw5hx986dUEZbr3eN,https://i.scdn.co/image/ab6761610000e5eb98c2527b85500f68f53084f2,2025-11-13 07:12:33
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,Memories...Do Not Open,2017-04-07,86,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,https://i.scdn.co/image/ab6761610000e5eb4567279fac84a0375c3d819b,2025-11-13 07:12:33
221eHga9f9Ne4f8D7WVgPT,Mystical Magical,Benson Boone,Mystical Magical,2025-04-24,82,https://i.scdn.co/image/ab67616d0000b273df98c5b533f9feac6fa81061,https://open.spotify.com/track/221eHga9f9Ne4f8D7WVgPT,https://i.scdn.co/image/ab6761610000e5ebb68234e1a673acc3d873d3e6,2025-11-13 07:12:33
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),1985-02-25,87,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,https://i.scdn.co/image/ab6761610000e5eb1e63dea1bded4ae1d53b5c9a,2025-11-13 07:12:33
6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,88,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13,2025-11-13 07:12:33
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,87,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,https://i.scdn.co/image/ab6761610000e5ebdc9e707b0d0e591e08d3f549,2025-11-13 07:12:33
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red,we fell in love in october / October Passed Me By,2018-11-21,88,https://i.scdn.co/image/ab67616d0000b273d6839051c4760457e1a60b2a,https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl,https://i.scdn.co/image/ab6761610000e5eb1b15c2ad299fdcf864a09742,2025-11-13 07:12:33
